                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3813,                 3.0259,                 1.9468,                0.00342,                      1,                0.27834,                0.11297,                 1.3664,                 3.8542,                 2.8067,              5.001e-05,              5.001e-05,              5.001e-05
                      1,                  1.341,                 3.0167,                 1.9011,                0.00336,                      1,                0.41947,                0.21064,                 1.1611,                 3.8115,                 2.4074,             5.8928e-05,             5.8928e-05,             5.8928e-05
